ss_id,latitude_rounded,longitude_rounded,kwp,orientation,tilt
1,52.247240713084175,-0.11286800186178425,2.666196359547577,135,26.25779713327999
2,55.7042858384595,-1.2473254355911574,5.877108526405223,225,31.160870020291174
3,54.39196365086843,-2.833306685995706,8.856512522887675,270,30.724775121784866
4,53.591950905182216,0.6965651379486406,7.590023977686051,270,40.441433733923155
5,50.93611184265462,-0.20688179212284474,8.259050330753048,135,40.19891940846548
6,50.93596712201722,-3.861681424585761,6.929050300396456,90,39.98041408041129
7,50.348501673009196,1.3764902914568973,7.230489080660672,225,15.330948427873974
8,55.19705687464961,0.7577607004621827,8.642760864087872,270,37.48636453406665
9,53.60669007045925,1.648599393043468,3.2470120797326736,135,37.76029170333015
10,54.24843546677627,0.08003655871852011,5.404824672788264,270,35.351364685654254
11,50.123506965774816,-0.7060936284494712,2.99088497637642,225,37.68793973674357
12,55.81945911297197,-2.072298745965668,9.889012071969823,225,40.25911114490126
13,54.99465584480253,1.5290993834780924,9.49653405717952,180,29.10957162305357
14,51.27403466406966,1.0624472265028588,1.354841302316553,135,30.061506404653414
15,51.0909498032426,-4.683469309256674,7.350176552641196,225,18.741421707341715
16,51.100427059120605,-4.815431178519236,9.327234856740992,180,26.561276491420855
17,51.82545345775723,-2.3647564318536527,2.6251781061460018,180,34.30095539735353
18,53.148538589793425,0.6738733154728305,6.111507074973665,270,38.41199328441824
19,52.59167011185269,1.9109329052046116,9.239394678292376,270,21.516272930736317
20,51.747374841188254,-3.9470817622753027,1.3055138072721895,180,19.13468697477706
21,53.67111736833428,-0.8410849925350536,7.276782405221559,270,34.89126013501477
22,50.83696316391225,-2.3337640035828495,3.676141066352957,225,15.056396505747319
23,51.75286789121131,1.789400784702222,9.319565758388773,90,20.351177529219896
24,52.19817105976215,0.894832461949961,9.73952420648831,225,15.872141410318612
25,52.73641990530221,0.8683009329779647,9.498398402020905,180,20.006553535646127
26,54.71105576835808,-1.719147881435208,5.267927949917174,180,20.439578397765157
27,51.19804269295016,-2.096263483636344,8.758383858903821,225,26.630207842511826
28,53.08540663048167,-3.0861504964850566,8.600944586815633,270,27.06981374059668
29,53.554487413172254,-4.605371523443511,3.871904259189301,270,41.227874118307135
30,50.278702476319985,1.0530566337853724,8.460239267356096,180,30.303291374964758
31,53.64526911140863,0.6903070639105433,1.3330687124394336,135,36.70214296836859
32,51.02314474212375,1.9980237130029144,6.366428906338477,270,18.124120737608624
33,50.39030955791168,1.9764578595173372,3.0700795355893273,225,21.763162663910816
34,55.69331322352,-1.1119780607816079,2.0851019719955093,270,36.08830322936031
35,55.793792198447356,0.3829119062635735,1.6925788146628824,225,16.58411881405584
36,54.85038408869877,1.6133601091769965,7.266598982903258,180,29.597929867312594
37,51.827682615040224,0.9475317347418803,4.058874673912595,270,32.981068969888014
38,50.5860326840383,-3.2685632877976163,7.522900943758853,225,33.06436932157443
39,54.10539815907294,-1.8461910528293455,1.5882070671904813,180,15.687984338041261
40,52.640914962437606,-4.095884093939535,3.837613040475493,135,24.663240126875564
41,50.73222940906867,1.6783571908110568,5.855421631378035,225,34.094719531474624
42,52.97106146066762,-0.7567775588438401,8.116508483550671,135,19.469992084477305
43,50.20633112669131,-3.399500361475761,3.8687725263886295,135,35.8624694498416
44,55.455922412472695,-0.298095209159003,6.633022387933082,90,37.37775626441024
45,51.5526798896001,-0.6731023167947292,8.973799734125684,270,44.45907571338436
46,53.97513370612389,-2.4928609737701164,6.542768693640741,225,21.295259845692282
47,51.87026645653646,-4.205096854602597,3.096635272782704,135,39.753920029983455
48,53.12040812706687,-0.2989876308504025,1.2196070340088423,90,30.608897307559623
49,53.28026167605968,-1.357846093673447,8.830889865108368,180,26.203877884325202
50,51.10912673315316,0.4062287421494748,1.1914246976534844,225,18.67130271975534
51,55.817507766587354,-1.3588554922160463,8.872315054157795,135,37.065168194626125
52,54.650796940166686,0.9652705022297807,5.760434206244907,270,22.075727974310613
53,55.63699364938513,-1.1366521285786013,9.451609286616065,90,26.142660056191374
54,55.36896410256589,-1.0734341992522962,8.189049121962988,135,16.876266806921052
55,53.58739987286651,1.1365752186084155,9.981406994800038,270,39.04100747458557
56,55.5312454101387,-2.175619936513221,4.156406339065391,135,37.9976557191493
