pv_id,timestamp
9531,2021-04-29 07:00:00
9531,2021-10-04 11:45:00
9531,2021-01-26 11:15:00
9531,2021-06-02 14:15:00
9531,2021-12-07 14:45:00
9531,2021-03-26 05:45:00
9531,2021-12-18 13:00:00
9531,2021-04-18 00:30:00
9531,2021-11-23 23:15:00
9531,2021-12-08 23:45:00
9531,2021-07-15 04:15:00
9531,2021-05-23 05:45:00
9531,2021-07-26 23:00:00
9531,2021-11-08 17:00:00
9531,2021-10-28 01:15:00
9531,2021-01-05 14:15:00
9531,2021-11-24 04:15:00
9531,2021-10-15 16:00:00
9531,2021-08-14 11:45:00
9531,2021-05-25 19:30:00
9531,2021-01-19 00:45:00
9531,2021-05-18 15:30:00
9531,2021-09-26 04:30:00
9531,2021-05-19 19:30:00
9531,2021-06-13 16:30:00
9531,2021-06-14 02:45:00
9531,2021-12-28 11:30:00
9531,2021-01-18 09:00:00
9531,2021-12-24 16:30:00
9531,2021-06-24 03:00:00
9531,2021-02-25 11:15:00
9531,2021-01-03 20:15:00
9531,2021-10-12 23:30:00
9531,2021-09-14 01:15:00
9531,2021-04-05 03:30:00
9531,2021-07-03 07:15:00
9531,2021-09-17 08:45:00
9531,2021-12-06 04:00:00
9531,2021-03-15 06:15:00
9531,2021-08-01 06:15:00
9531,2021-07-12 00:45:00
9531,2021-05-24 21:30:00
9531,2021-05-08 23:15:00
9531,2021-07-15 22:00:00
9531,2021-05-21 14:30:00
9531,2021-01-01 17:30:00
9531,2021-07-16 21:00:00
9531,2021-09-28 09:45:00
9531,2021-11-16 19:15:00
9531,2021-07-31 02:15:00
7174,2021-07-28 18:15:00
7174,2021-08-06 04:45:00
7174,2021-08-20 18:30:00
7174,2021-08-28 08:15:00
7174,2021-06-13 03:30:00
7174,2021-01-19 14:30:00
7174,2021-06-28 01:45:00
7174,2021-11-20 19:30:00
7174,2021-06-13 05:45:00
7174,2021-09-03 16:00:00
7174,2021-02-27 14:00:00
7174,2021-03-22 06:15:00
7174,2021-09-20 20:15:00
7174,2021-09-12 00:45:00
7174,2021-09-12 13:45:00
7174,2021-04-08 15:15:00
7174,2021-07-13 02:30:00
7174,2021-04-26 08:45:00
7174,2021-12-20 13:15:00
7174,2021-12-10 09:15:00
7174,2021-04-18 21:45:00
7174,2021-02-11 05:00:00
7174,2021-06-03 07:30:00
7174,2021-04-23 00:45:00
7174,2021-11-16 23:00:00
7174,2021-03-14 04:45:00
7174,2021-08-03 22:30:00
7174,2021-08-08 18:00:00
7174,2021-09-09 20:30:00
7174,2021-04-20 17:00:00
7174,2021-12-12 22:30:00
7174,2021-02-27 06:15:00
7174,2021-08-19 21:30:00
7174,2021-04-20 05:15:00
7174,2021-07-19 04:15:00
7174,2021-05-12 09:45:00
7174,2021-09-18 08:15:00
7174,2021-09-01 20:45:00
7174,2021-07-14 23:30:00
7174,2021-11-22 03:45:00
7174,2021-11-25 21:45:00
7174,2021-05-12 20:30:00
7174,2021-05-26 05:45:00
7174,2021-05-14 09:30:00
7174,2021-04-08 18:30:00
7174,2021-09-15 01:00:00
7174,2021-05-27 04:30:00
7174,2021-07-24 19:45:00
7174,2021-02-04 11:00:00
7174,2021-10-16 10:15:00
6872,2021-10-15 07:15:00
6872,2021-06-25 04:00:00
6872,2021-08-01 01:30:00
6872,2021-11-21 17:30:00
6872,2021-02-06 16:30:00
6872,2021-07-17 03:30:00
6872,2021-02-12 04:30:00
6872,2021-10-07 00:45:00
6872,2021-07-11 09:15:00
6872,2021-01-03 06:30:00
6872,2021-04-26 18:30:00
6872,2021-05-23 14:00:00
6872,2021-11-18 10:45:00
6872,2021-12-24 07:15:00
6872,2021-04-05 17:15:00
6872,2021-11-16 05:15:00
6872,2021-04-06 17:30:00
